"","Compound.Name","assigned_cluster_1","anthro_influenced_1","influence_type_1","notes_1","assigned_cluster_2","anthro_influenced_2","influence_type_2","notes_2","ES_Comp_Name","Tracer_key","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","cumsum_ISrawnorm","vol_frac_1","vol_frac_2"
"1280","1128_1901_blob_729",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"9-Tetradecenoic acid, (E)-, TMS derivative",674,"myrc_ox_L_blob_801",586,1.83750050702838e-06,0.0466785412509809,NA
"1281","1128_1901_blob_726",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"Pentacosanoic acid, trimethylsilyl ester",776,"limonox_S_blob_687",541,2.48488111256036e-06,0.0466785412509809,NA
"1282","1128_1901_blob_725",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",634,"myrc_ox_L_blob_694",558,2.4365777701081e-06,0.0466785412509809,NA
"1283","1128_1901_blob_720",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",672,"limonox_S_blob_687",538,1.96600321572779e-06,0.0466785412509809,NA
"1284","1128_1901_blob_719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(1R,2R,3S,5R)-(-)-2,3-Pinanediol",693,"apin_ox_L_blob_536",766,NA,NA,NA
"1285","1128_1901_blob_718",10,TRUE,"BB","Levoglucosan here",6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-ﬂ,3,4-tris[(trimethylsilyl)oxy]-",663,"limonox_S_blob_787",766,9.05502991126588e-05,0.10139608802959,0.0254276438988571
"1286","1128_1901_blob_703",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,"ISOP3","3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",756,"myrc_ox_L_blob_619",462,0.00102062827729904,0.172096192979959,0.230717631063636
"1287","1128_1901_blob_702",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",712,"limonox_S_blob_687",533,3.42342027282697e-06,0.0466785412509809,NA
"1288","1128_1901_blob_694",6,TRUE,"BB",NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Trimethylsilyl tricosanoate",843,"bcp_ox_L_blob_18",538,0.0012815363090271,0.0231549757315948,0.525616925600794
"1289","1128_1901_blob_687",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Nonadecanoic acid, TMS derivative",869,"bcp_ox_L_blob_18",530,5.27188286775736e-05,0.0466785412509809,0.525616925600794
"1290","1128_1901_blob_678",4,FALSE,NA,"some HC influence but not clear",4,TRUE,"BB","very strong BB corr- the strongest factor","C26",NA,"Eicosane, 7-hexyl-",858,"limonox_S_blob_969",0,0.000450051448728153,0.0339718247071164,0.525616925600794
"1291","1128_1901_blob_674",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"1-Hexadecanol, 2-methyl-",711,"apin_ox_L_blob_536",0,2.24233741391047e-05,0.0466785412509809,0.0254276438988571
"1292","1128_1901_blob_673",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Propanetriol, 2-methyl-, tris-O-(trimethylsilyl)-",672,"myrc_ox_L_blob_873",516,0.00103320904660109,0.0649182550729844,0.230717631063636
"1293","1128_1901_blob_671",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"Cholesta-3,5-diene",844,"limonox_S_blob_687",354,5.0085853859455e-06,0.0466785412509809,NA
"1294","1128_1901_blob_663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,3-Butanediol, 2TMS derivative",718,"limonox_S_blob_619",543,NA,NA,NA
"1295","1128_1901_blob_648",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",880,"bcp_ox_L_blob_890",571,1.72245020899922e-06,0.0466785412509809,NA
"1296","1128_1901_blob_645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,3-Butanediol, 2TMS derivative",742,"limonox_S_blob_619",648,NA,NA,NA
"1297","1128_1901_blob_639",6,TRUE,"BB",NA,4,TRUE,"BB","very strong BB corr- the strongest factor","monopalmitin",NA,"1-Monopalmitin, 2TMS derivative",731,"limonox_S_blob_633",461,0.000453649659812174,0.0231549757315948,0.525616925600794
"1298","1128_1901_blob_631",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"Hexadecanoic acid, hexadecyl ester",754,"apin_ox_L_blob_536",0,7.17400305061178e-05,0.043048536918008,0.0254276438988571
"1299","1128_1901_blob_624",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"11,14-Eicosadienoic acid, TMS derivative",723,"limonox_S_blob_687",459,5.68909425264367e-06,0.0466785412509809,NA
"1300","1128_1901_blob_620",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",694,"myrc_ox_L_blob_619",573,0.00202936852827476,0.0649182550729844,0.230717631063636
"1301","1128_1901_blob_609",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"Petroselinic acid, TMS derivative",764,"bcp_ox_L_blob_18",538,5.59467639731051e-06,0.0466785412509809,NA
"1302","1128_1901_blob_604",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"Cholesteryl benzoate",816,"limonox_S_blob_687",361,1.17243863230841e-05,0.0466785412509809,NA
"1303","1128_1901_blob_582",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Pyroglutamic acid, TMS derivative",898,"myrc_ox_L_blob_661",416,0.00105858804608971,0.0466785412509809,0.525616925600794
"1304","1128_1901_blob_37",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"10-Heptadecenoic acid, (Z)-, TMS derivative",893,"bcp_ox_L_blob_18",532,3.64134868684223e-05,0.0466785412509809,0.0254276438988571
"1305","1128_1901_blob_34",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"Palmitelaidic acid, TMS derivative",870,"bcp_ox_L_blob_18",564,4.21569971022189e-05,0.0466785412509809,NA
"1306","1128_1901_blob_23",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"9-Tetradecenoic acid, (E)-, TMS derivative",877,"bcp_ox_L_blob_18",582,2.69512890902453e-05,0.0466785412509809,NA
"1307","1128_1901_blob_2274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chromone, 5-hydroxy-6,7,8-trimethoxy-2,3-dimethyl-",480,"limonox_S_blob_701",347,NA,NA,NA
"1308","1128_1901_blob_2169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,4,4-Trimethyl-3-[2-(2-methyl-[1,3]dioxolan-2-yl)-vinyl]-cyclohex-2-enone",508,"bcp_ox_L_blob_704",390,NA,NA,NA
"1309","1128_1901_blob_2166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glycine, N-(N-glycyl-L-leucyl)-",530,"limonox_S_blob_701",290,NA,NA,NA
"1310","1128_1901_blob_2095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rapamycin",579,"limonox_S_blob_687",410,NA,NA,NA
"1311","1128_1901_blob_2042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deoxycholic Acid, 2TMS derivative",547,"limonox_S_blob_701",364,NA,NA,NA
"1312","1128_1901_blob_2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-Oxooctanoic acid, 2-trimethylsilylethyl ester",589,"myrc_ox_L_blob_729",598,NA,NA,NA
"1313","1128_1901_blob_1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nandrolone, TMS derivative",604,"limonox_S_blob_687",445,NA,NA,NA
"1314","1128_1901_blob_1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-Spirocyclohexyl-8,9-dimethoxy-10b-methyl-1,5,6,10b-tetrahydro-oxazolo[4,3-a]isoquinolin-3-one",537,"limonox_S_blob_969",0,NA,NA,NA
"1315","1128_1901_blob_1933",6,TRUE,"BB",NA,7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"N-(Trimethylsilyl)hexanamide",602,"limonox_S_blob_687",465,0.000161396356045378,0.0231549757315948,0.117693231121791
"1316","1128_1901_blob_1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sulfurous acid, octadecyl pentyl ester",640,"limonox_S_blob_789",0,NA,NA,NA
"1317","1128_1901_blob_1873",7,FALSE,NA,"total myserty",NA,NA,NA,NA,NA,NA,"1-Propanol, 2-[2-(benzoyloxy)propoxy]-, benzoate",663,"apin_ox_S_blob_751",304,1.77387632004406e-05,0.057495434307447,NA
"1318","1128_1901_blob_1872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-Hydroxyandrostan-17-one o-methyloxime, (3a,5a)-, TMS derivative",564,"limonox_S_blob_687",498,NA,NA,NA
"1319","1128_1901_blob_1871",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"Propylbenzene, 1'-hydroxy-3,4,5-trimethoxy-2'-nitro-",657,"limonox_S_blob_771",514,4.39395135055374e-05,0.0231549757315948,NA
"1320","1128_1901_blob_1869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",590,"myrc_ox_L_blob_801",575,NA,NA,NA
"1321","1128_1901_blob_1867",NA,NA,NA,NA,5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"4,8,12,16-Tetramethylheptadecan-4-olide",691,"apin_ox_S_blob_751",344,2.0144730993504e-06,NA,0.0424769087931355
"1322","1128_1901_blob_1856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetrahydrofuran-2-one, 3-[2-pentenyl]-4-methyl-",656,"limonox_L_blob_627",492,NA,NA,NA
"1323","1128_1901_blob_1848",9,FALSE,NA,"some amd HC and BB but none strong",NA,NA,NA,NA,NA,NA,"Butanoic acid, 4-oxo-4-[(5,6,7,8-tetrahydro-1-naphthalenyl)amino]-",567,"limonox_S_blob_633",405,2.98571820699851e-06,0.348714464682746,NA
"1324","1128_1901_blob_1822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acetic acid, 6-(1-hydroxymethyl-vinyl)-4,8a-dimethyl-3-oxo-1,2,3,5,6,7,8,8a-octahydronaphthalen-2-yl ester",516,"limonox_S_blob_687",401,NA,NA,NA
"1325","1128_1901_blob_1811",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",559,"bcp_ox_L_blob_988",480,4.59424121452138e-06,0.0231549757315948,NA
"1326","1128_1901_blob_1809",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",564,"limonox_S_blob_725",537,9.14990283852008e-06,0.0466785412509809,NA
"1327","1128_1901_blob_1795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",641,"bcp_ox_L_blob_609",488,NA,NA,NA
"1328","1128_1901_blob_1780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",723,"apin_ox_S_blob_592",320,NA,NA,NA
"1329","1128_1901_blob_1778",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",650,"limonox_S_blob_1116",617,7.30781400343466e-05,0.0649182550729844,0.230717631063636
"1330","1128_1901_blob_1775",5,FALSE,NA,"IEPOX and LOOOA",NA,NA,NA,NA,NA,NA,"4-Hexenoic acid, 4-methyl-6-(fluorodimethylsilyl)-6-trimethylsilyl-",630,"limonox_S_blob_738",590,0.000116095543621788,0.020926692898477,NA
"1331","1128_1901_blob_1748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acetic acid, 2-(1,2,4-triazol-4-yl)amino-, ethyl ester",419,"apin_ox_S_blob_751",332,NA,NA,NA
"1332","1128_1901_blob_1741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(methylboronate)",520,"limonox_S_blob_687",381,NA,NA,NA
"1333","1128_1901_blob_1735",5,FALSE,NA,"IEPOX and LOOOA",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",609,"limonox_S_blob_720",630,2.61349916017396e-06,0.020926692898477,NA
"1334","1128_1901_blob_1732",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,"limonox_S_blob_720",626,2.66239088844246e-06,0.0466785412509809,NA
"1335","1128_1901_blob_1728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-Methoxy-3-(trimethylsilyloxymethyl)nonane",609,"apin_ox_S_blob_751",485,NA,NA,NA
"1336","1128_1901_blob_1726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-Methyl-11-propenyl-5-(toluene-4-sulfonyloxy)-12,13-dioxatricyclo[7.3.1.0(1,6)]tridecane-8-carboxylic acid, methyl ester",601,"bcp_ox_L_blob_62",553,NA,NA,NA
"1337","1128_1901_blob_1722",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",2,TRUE,"BB","not strong anywhere, but some LOBBOA and IEPOX",NA,NA,"10-Undecynoic acid, TMS derivative",695,"limonox_S_blob_734",641,0.00182884800214979,0.043048536918008,0.003320537964288
"1338","1128_1901_blob_1721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2H-Pyran-2-one, tetrahydro-6-octyl-",573,"limonox_S_blob_685",500,NA,NA,NA
"1339","1128_1901_blob_1714",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"1-((Dicyclohexylphosphorothioyl)methyl)piperidine",666,"limonox_S_blob_767",390,0.000215215542101815,0.0649182550729844,0.230717631063636
"1340","1128_1901_blob_1706",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"2,6,10,14,18,22-Tetracosahexaene, 2,6,10,15,19,23-hexamethyl-, (all-E)-, didehydro deriv.",573,"limonox_S_blob_1216",417,2.88273179464419e-05,0.0231549757315948,NA
"1341","1128_1901_blob_1684",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"8-Methoxy-1,3,4,5-tetrahydro-2H-1-benzazepin-2-one, TBDMS derivative",615,"bcp_ox_L_blob_641",433,2.35952148566951e-06,0.0231549757315948,NA
"1342","1128_1901_blob_1679",5,FALSE,NA,"IEPOX and LOOOA",NA,NA,NA,NA,NA,NA,"Spiro[4.5]decan-7-one, 1,8-dimethyl-8,9-epoxy-4-isopropyl-",649,"bcp_ox_L_blob_609",559,3.35053939219058e-06,0.020926692898477,NA
"1343","1128_1901_blob_1664",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",680,"limonox_S_blob_701",441,8.63482058698131e-07,0.0466785412509809,NA
"1344","1128_1901_blob_1644",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Cycloheptanol, TBDMS derivative",676,"apin_ox_L_blob_579",827,5.23460065501951e-05,0.172096192979959,0.230717631063636
"1345","1128_1901_blob_1635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-Furanacrylic acid, TMS derivative",577,"limonox_S_blob_630",590,NA,NA,NA
"1346","1128_1901_blob_1634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Octadecanal, 2-bromo-",669,"limonox_S_blob_701",295,NA,NA,NA
"1347","1128_1901_blob_1632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,12-Docosadiynedioic acid, 2TMS derivative",545,"bcp_ox_L_blob_18",434,NA,NA,NA
"1348","1128_1901_blob_1630",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(methylboronate)",607,"limonox_S_blob_720",581,1.46210408320157e-05,0.0231549757315948,NA
"1349","1128_1901_blob_1624",7,FALSE,NA,"total myserty",NA,NA,NA,NA,NA,NA,"8-Acetyl-5,5-dimethyl-nona-2,3,8-trienoic acid, methyl ester",598,"limonox_S_blob_687",437,8.85019877283879e-07,0.057495434307447,NA
"1350","1128_1901_blob_1622",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",669,"limonox_S_blob_831",594,4.79957550943035e-05,0.0633705834493537,0.117693231121791
"1351","1128_1901_blob_1617",5,FALSE,NA,"IEPOX and LOOOA",NA,NA,NA,NA,NA,NA,"a-D-Glucofuranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,5-bis(butylboronate)",617,"limonox_S_blob_888",587,6.45625752697865e-05,0.020926692898477,NA
"1352","1128_1901_blob_1610",6,TRUE,"BB",NA,7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",668,"limonox_S_blob_649",619,6.21450780135387e-05,0.0231549757315948,0.117693231121791
"1353","1128_1901_blob_1603",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"8,12-Tetradecadienoic acid, 5-ethenyl-3,5,9,13-tetramethyl-, methyl ester",563,"bcp_ox_L_blob_813",440,2.77869936930826e-07,0.0466785412509809,NA
"1354","1128_1901_blob_1589",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"DL-Proline, 5-oxo-",600,"limonox_S_blob_720",489,5.34588277079099e-06,0.0466785412509809,NA
"1355","1128_1901_blob_1571",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"2-Methyl-3,5-heptadiene, 7-trimethylsilyl-2,3-bis(trimethylsilyloxy)-",629,"myrc_ox_L_blob_630",570,9.26159628499341e-07,0.0466785412509809,NA
"1356","1128_1901_blob_1569",13,TRUE,"UP",NA,7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"2-Hydroxyundecanoic acid, trimethylsilyl ether, trimethylsilyl ester",542,"limonox_L_blob_600",537,7.21058342263895e-05,0.0242284099717432,0.117693231121791
"1357","1128_1901_blob_1567",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"a-L-Galactopyranoside, methyl 6-deoxy-2-O-(trimethylsilyl)-, cyclic methylboronate",627,"limonox_S_blob_755",603,5.13135495493872e-06,0.0466785412509809,NA
"1358","1128_1901_blob_1561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-Oxiranemethanol, a,alpha.-dimethyl-3-[1-(t-butyldimethylsilyloxy)pentyl]-",634,"limonox_S_blob_860",608,NA,NA,NA
"1359","1128_1901_blob_1559",4,FALSE,NA,"some HC influence but not clear",NA,NA,NA,NA,NA,NA,"Phthalic acid, benzyl isobutyl ester",732,"limonox_S_blob_633",308,1.51075801614567e-05,0.0339718247071164,NA
"1360","1128_1901_blob_1549",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"4,6-Diketooctanoic acid,O,O'- bis(trimethylsilyl)",613,"myrc_ox_L_blob_653",791,5.94736970133811e-05,0.172096192979959,0.117693231121791
"1361","1128_1901_blob_1543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-Heptyn-3-ol, 2-benzyloxy-7-methoxy-1-(t-butyldimethylsilyl)oxy-",649,"limonox_S_blob_757",426,NA,NA,NA
"1362","1128_1901_blob_1534",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",625,"limonox_S_blob_687",457,5.72767469612448e-07,0.0466785412509809,NA
"1363","1128_1901_blob_1528",NA,NA,NA,NA,5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"Cefalexin, N,N'-bis(tert.-butyldimethylsilyl)-, tert.-butyldimethylsilyl ester",579,"limonox_S_blob_632",519,1.44369104342669e-05,NA,0.0424769087931355
"1364","1128_1901_blob_1524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hexadecanoic acid, 1-(hydroxymethyl)-1,2-ethanediyl ester",677,"limonox_S_blob_687",417,NA,NA,NA
"1365","1128_1901_blob_1521",6,TRUE,"BB",NA,NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",687,"limonox_S_blob_687",435,3.28489679378341e-05,0.0231549757315948,NA
"1366","1128_1901_blob_1517",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",667,"limonox_S_blob_725",640,1.81003850933654e-06,0.043048536918008,NA
"1367","1128_1901_blob_1516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",569,"limonox_S_blob_687",392,NA,NA,NA
"1368","1128_1901_blob_1515",7,FALSE,NA,"total myserty",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",638,"limonox_L_blob_599",591,4.81767392165717e-06,0.057495434307447,NA
"1369","1128_1901_blob_1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",667,"limonox_S_blob_685",523,NA,NA,NA
"1370","1128_1901_blob_1509",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",633,"limonox_S_blob_716",628,7.56287879867216e-07,0.0466785412509809,NA
"1371","1128_1901_blob_1501",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"t-Butyl-(2-[3-(2,2-dimethyl-6-methylene-cyclohexyl)-propyl]-[1,3]dithian-2-yl)-dimethyl-silane",579,"limonox_S_blob_687",396,2.09267607945927e-05,0.0466785412509809,NA
"1372","1128_1901_blob_1499",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"13-Retinoic acid, (Z)-, TMS derivative",609,"apin_ox_S_blob_595",424,4.5961100443408e-07,0.0466785412509809,NA
"1373","1128_1901_blob_1492",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",645,"limonox_S_blob_756",597,7.31829331095873e-05,0.0649182550729844,0.230717631063636
"1374","1128_1901_blob_1480",11,TRUE,"UP","Phthalic acid here; also some bb influence",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",662,"limonox_S_blob_923",582,0.000247043693396769,0.172096192979959,0.117693231121791
"1375","1128_1901_blob_1479",13,TRUE,"UP",NA,5,FALSE,NA,"only correlation is with MOBBOA but its really not strong",NA,NA,"t-Butyl(4,5-dihydrofuran-2-yl)dimethylsilane",572,"limonox_L_blob_603",807,5.91523720697222e-05,0.0242284099717432,0.0424769087931355
"1376","1128_1901_blob_1469",3,FALSE,NA,"strong LOOOA, also some MOOOA and IEPOX",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"Cyclohexene, 1-(trimethylsilyloxy)-3-vinyl-",691,"limonox_L_blob_565",528,4.96854735231867e-05,0.043048536918008,0.117693231121791
"1377","1128_1901_blob_1465",10,TRUE,"BB","Levoglucosan here",1,FALSE,NA,"some anthro influence and IEPOX but none strong",NA,NA,"2-Ketobutyric acid, TMS derivative",703,"myrc_ox_L_blob_618",615,0.00798667993028017,0.10139608802959,0.0205401784224247
"1378","1128_1901_blob_1464",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",667,"limonox_S_blob_716",597,1.12779114507751e-05,0.0466785412509809,NA
"1379","1128_1901_blob_1461",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",NA,NA,NA,NA,NA,NA,"a-l-Galactopyranoside, methyl 6-deoxy-2-O-(trimethylsilyl)-, cyclic butylboronate",644,"limonox_S_blob_720",613,1.39639478987072e-05,0.0466785412509809,NA
"1380","1128_1901_blob_1459",5,FALSE,NA,"IEPOX and LOOOA",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",649,"limonox_L_blob_554",644,1.14805920390301e-05,0.020926692898477,NA
